,Data_Source,Date,compound,neg,neu,pos,tweet
1730,@CNN,2017-12-11,-0.6369,0.245,0.755,0.0,70
1731,@CNN,2017-12-11,0.0,0.0,1.0,0.0,69
1732,@CNN,2017-12-11,-0.8074,0.343,0.657,0.0,68
1733,@CNN,2017-12-11,0.0,0.0,1.0,0.0,67
1734,@CNN,2017-12-11,-0.296,0.128,0.872,0.0,66
1735,@CNN,2017-12-11,-0.7096,0.258,0.742,0.0,65
1736,@CNN,2017-12-11,0.0,0.0,1.0,0.0,64
1737,@CNN,2017-12-11,0.0,0.0,1.0,0.0,63
1738,@CNN,2017-12-11,0.0,0.0,1.0,0.0,62
1739,@CNN,2017-12-11,0.5267,0.0,0.672,0.328,61
1740,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,60
1741,@CNN,2017-12-11,-0.1027,0.065,0.935,0.0,59
1742,@CNN,2017-12-11,0.0,0.0,1.0,0.0,58
1743,@CNN,2017-12-11,0.0,0.0,1.0,0.0,57
1744,@CNN,2017-12-11,0.2146,0.108,0.74,0.153,56
1745,@CNN,2017-12-11,0.0,0.0,1.0,0.0,55
1746,@CNN,2017-12-11,0.0,0.0,1.0,0.0,54
1747,@CNN,2017-12-11,0.5574,0.0,0.82,0.18,53
1748,@CNN,2017-12-11,0.5574,0.0,0.816,0.184,52
1749,@CNN,2017-12-11,0.0,0.0,1.0,0.0,51
1750,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,50
1751,@CNN,2017-12-11,0.0,0.0,1.0,0.0,49
1752,@CNN,2017-12-11,0.0,0.0,1.0,0.0,48
1753,@CNN,2017-12-11,-0.7096,0.258,0.742,0.0,47
1754,@CNN,2017-12-11,-0.4019,0.124,0.876,0.0,46
1755,@CNN,2017-12-11,0.0,0.0,1.0,0.0,45
1756,@CNN,2017-12-11,0.0,0.0,1.0,0.0,44
1757,@CNN,2017-12-11,-0.8591,0.388,0.612,0.0,43
1758,@CNN,2017-12-11,0.5423,0.0,0.83,0.17,42
1759,@CNN,2017-12-11,-0.4588,0.176,0.824,0.0,41
1760,@CNN,2017-12-11,0.0,0.0,1.0,0.0,40
1761,@CNN,2017-12-11,0.0,0.0,1.0,0.0,39
1762,@CNN,2017-12-11,-0.3612,0.132,0.868,0.0,38
1763,@CNN,2017-12-11,-0.296,0.109,0.891,0.0,37
1764,@CNN,2017-12-11,-0.6908,0.251,0.749,0.0,36
1765,@CNN,2017-12-11,0.25,0.094,0.726,0.179,35
1766,@CNN,2017-12-11,0.0,0.0,1.0,0.0,34
1767,@CNN,2017-12-11,-0.296,0.104,0.896,0.0,33
1768,@CNN,2017-12-11,0.0258,0.0,0.939,0.061,32
1769,@CNN,2017-12-11,0.0,0.0,1.0,0.0,31
1770,@CNN,2017-12-11,0.6124,0.074,0.698,0.229,30
1771,@CNN,2017-12-11,0.3612,0.0,0.857,0.143,29
1772,@CNN,2017-12-11,0.0,0.0,1.0,0.0,28
1773,@CNN,2017-12-11,0.0,0.0,1.0,0.0,27
1774,@CNN,2017-12-11,-0.4939,0.127,0.873,0.0,26
1775,@CNN,2017-12-11,0.0,0.0,1.0,0.0,25
1776,@CNN,2017-12-11,0.0772,0.0,0.909,0.091,24
1777,@CNN,2017-12-11,0.0,0.0,1.0,0.0,23
1778,@CNN,2017-12-11,-0.0772,0.085,0.915,0.0,22
1779,@CNN,2017-12-11,0.7845,0.0,0.635,0.365,21
1780,@CNN,2017-12-11,-0.0772,0.174,0.671,0.154,20
1781,@CNN,2017-12-11,-0.4019,0.124,0.876,0.0,19
